     100 files     200 files     251 text files.
classified 251 filesDuplicate file check 251 files (245 known unique)Unique:      100 files                                          Unique:      200 files                                               249 unique files.                              
Counting:  100Counting:  200       5 files ignored.

github.com/AlDanial/cloc v 1.70  T=1.00 s (248.0 files/s, 32326.0 lines/s)
-----------------------------------------------------------------------------------
File                                            blank        comment           code
-----------------------------------------------------------------------------------
.\Lua.cpp                                         221              1            816
.\LuaObjectMetatable.cpp                          214              2            743
.\ObjectReflection.h                               70             28            686
.\LuaBinding.cpp                                  219              5            594
.\Handle.h                                        119              7            489
.\BoundingVolume.cpp                               11              0            445
.\AabbTree.cpp                                    132              0            436
.\Matrix3.meta.cpp                                142              0            435
.\ShaderPrograms.h                                112              4            431
.\HalfBoundingVolume.cpp                           11              0            423
.\Handle.cpp                                      127              5            411
.\Matrix3.cpp                                     142             25            410
.\Transform.meta.cpp                              118              0            382
.\MeshData.cpp                                    125              3            379
.\FrameBase.cpp                                   119              2            366
.\JsonParser.cpp                                  101              0            292
.\CoreTypeReflection.cpp                           92             33            291
.\ShadingOperation.cpp                            106              3            271
.\ReflectionData.cpp                               80              2            267
.\Texture.cpp                                      82              5            257
.\InputEnums.cpp                                   25              0            251
.\LuaJson.cpp                                      88              0            250
.\Object.cpp                                       83             22            246
.\TaskScheduler.cpp                                73              0            240
.\Quaternion.meta.cpp                              74              0            233
.\ObjParser.cpp                                    74              0            231
.\PageAllocator.h                                  85              6            228
.\Quaternion.cpp                                   55             22            218
.\InputEvent.cpp                                   40              0            218
.\FrameBuffer.cpp                                  66              2            217
.\GlowingSceneOperation.cpp                        97             45            216
.\Object.meta.cpp                                  56              0            213
.\AudioSystem.cpp                                  58             28            210
.\IdentifierHeap.h                                 48              4            205
.\Vector3.meta.cpp                                 63              0            201
.\Light.cpp                                        54             18            199
.\Uniform.cpp                                      79              2            198
.\MeshLoader.cpp                                   76              0            192
.\Scene.cpp                                        60             16            191
.\ObjectLuaType.h                                  49              0            188
.\OptionSlider.cpp                                 54              2            188
.\LuaDataTypes.h                                   40              0            179
.\Graphics.cpp                                     40             83            171
.\Camera.meta.cpp                                  61              0            164
.\Matrix3.h                                        40              7            163
.\Object.h                                         59              0            160
.\BorderedFrame.cpp                                46              0            160
.\LuaScript.meta.cpp                               58              0            159
.\CoreTypeReflection.h                             52              0            157
